iter	Passed	Remaining
0	83	8307
1	173	8498
2	205	6646
3	293	7044
4	382	7259
5	469	7348
6	502	6669
7	589	6779
8	678	6861
9	768	6914
10	800	6478
11	889	6522
12	977	6540
13	1011	6213
14	1095	6210
15	1183	6213
16	1268	6195
17	1363	6211
18	1402	5977
19	1493	5973
20	1584	5959
21	1671	5925
22	1701	5695
23	1788	5662
24	1880	5642
25	1964	5590
26	1997	5401
27	2083	5358
28	2173	5321
29	2202	5139
30	2285	5086
31	2373	5043
32	2459	4994
33	2497	4847
34	2582	4796
35	2669	4746
36	2702	4601
37	2787	4548
38	2871	4491
39	2958	4437
40	2986	4298
41	3067	4236
42	3097	4106
43	3188	4058
44	3281	4011
45	3367	3953
46	3458	3900
47	3485	3775
48	3563	3708
49	3589	3589
50	3673	3529
51	3756	3467
52	3782	3354
53	3862	3290
54	3891	3183
55	3968	3118
56	3994	3013
57	4072	2948
58	4153	2886
59	4181	2787
60	4259	2723
61	4286	2627
62	4370	2566
63	4450	2503
64	4477	2410
65	4558	2348
66	4591	2261
67	4671	2198
68	4753	2135
69	4780	2048
70	4868	1988
71	4955	1927
72	4988	1845
73	5073	1782
74	5163	1721
75	5250	1657
76	5279	1577
77	5360	1512
78	5447	1447
79	5475	1368
80	5559	1304
81	5645	1239
82	5672	1161
83	5753	1095
84	5783	1020
85	5864	954
86	5950	889
87	5981	815
88	6063	749
89	6142	682
90	6168	610
91	6250	543
92	6279	472
93	6360	405
94	6444	339
95	6471	269
96	6555	202
97	6642	135
98	6671	67
99	6754	0
